SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE
CASTROLIND,Castrol India Limited,EQ,14-Mar-2014,5,1,INE172A01027,5
CCCL,Consolidated Construction Consortium Limited,BE,15-Oct-2007,2,1,INE429I01024,2
CCHHL,Country Club Hospitality & Holidays Limited,BE,03-Feb-2015,2,1,INE652F01027,2
CCL,CCL Products (India) Limited,EQ,07-Jun-2004,2,1,INE421D01022,2
CDSL,Central Depository Services (India) Limited,EQ,30-Jun-2017,10,1,INE736A01011,10
CEATLTD,CEAT Limited,EQ,01-Feb-2008,10,1,INE482A01020,10
CELEBRITY,Celebrity Fashions Limited,EQ,12-Jan-2006,10,1,INE185H01016,10
CENTENKA,Century Enka Limited,EQ,10-May-1995,10,1,INE485A01015,10
CENTEXT,Century Extrusions Limited,EQ,20-Jul-2004,1,1,INE281A01026,1
CENTRALBK,Central Bank of India,EQ,21-Aug-2007,10,1,INE483A01010,10
CENTRUM,Centrum Capital Limited,EQ,04-Apr-2018,1,1,INE660C01027,1
CENTUM,Centum Electronics Limited,EQ,05-Oct-2007,10,1,INE320B01020,10
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-Mar-2006,1,1,INE348B01021,1
CENTURYTEX,Century Textiles & Industries Limited,EQ,27-Jun-2003,10,1,INE055A01016,10
CERA,Cera Sanitaryware Limited,EQ,02-Nov-2007,5,1,INE739E01017,5
CEREBRAINT,Cerebra Integrated Technologies Limited,EQ,26-Jun-2013,10,1,INE345B01019,10
CESC,CESC Limited,EQ,08-Feb-1995,1,1,INE486A01021,1
CGCL,Capri Global Capital Limited,EQ,29-Oct-2010,2,1,INE180C01026,2
CGPOWER,CG Power and Industrial Solutions Limited,EQ,01-Mar-1995,2,1,INE067A01029,2
CHALET,Chalet Hotels Limited,EQ,07-Feb-2019,10,1,INE427F01016,10
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-Jun-1995,10,1,INE085A01013,10
CHEMBOND,Chembond Chemicals Ltd,EQ,20-Nov-2019,5,1,INE995D01025,5
CHEMCON,Chemcon Speciality Chemicals Limited,EQ,01-Oct-2020,10,1,INE03YM01018,10
CHEMFAB,Chemfab Alkalis Limited,EQ,25-Apr-2018,10,1,INE783X01023,10
CHEMPLASTS,Chemplast Sanmar Limited,EQ,24-Aug-2021,5,1,INE488A01050,5
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-Jun-2000,10,1,INE178A01016,10
CHEVIOT,Cheviot Company Limited,EQ,20-Jun-2022,10,1,INE974B01016,10
CHOICEIN,Choice International Limited,EQ,08-Apr-2022,10,1,INE102B01014,10
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-May-1996,2,1,INE121A01024,2
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-Sep-2017,1,1,INE149A01033,1
CIGNITITEC,Cigniti Technologies Limited,EQ,13-Oct-2014,10,1,INE675C01017,10
CINELINE,Cineline India Limited,EQ,13-Jun-2012,5,1,INE704H01022,5
CINEVISTA,Cinevista Limited,EQ,02-May-2000,2,1,INE039B01026,2
CIPLA,Cipla Limited,EQ,08-Feb-1995,2,1,INE059A01026,2
CLEAN,Clean Science and Technology Limited,EQ,19-Jul-2021,1,1,INE227W01023,1
CLEDUCATE,CL Educate Limited,EQ,31-Mar-2017,5,1,INE201M01029,5
CLSEL,Chaman Lal Setia Exports Limited,EQ,12-May-2021,2,1,INE419D01026,2
CMICABLES,CMI Limited,BE,29-Nov-2016,10,1,INE981B01011,10
CMSINFO,CMS Info Systems Limited,EQ,31-Dec-2021,10,1,INE925R01014,10
COALINDIA,Coal India Limited,EQ,04-Nov-2010,10,1,INE522F01014,10
COASTCORP,Coastal Corporation Limited,EQ,08-Oct-2021,10,1,INE377E01016,10
COCHINSHIP,Cochin Shipyard Limited,EQ,11-Aug-2017,10,1,INE704P01017,10
COFFEEDAY,Coffee Day Enterprises Limited,EQ,02-Nov-2015,10,1,INE335K01011,10
COFORGE,Coforge Limited,EQ,30-Aug-2004,10,1,INE591G01017,10
COLPAL,Colgate Palmolive (India) Limited,EQ,17-Dec-2007,1,1,INE259A01022,1
COMPINFO,Compuage Infocom Limited,EQ,07-Jul-2016,2,1,INE070C01037,2
COMPUSOFT,Compucom Software Limited,EQ,02-Mar-2012,2,1,INE453B01029,2
CONCOR,Container Corporation of India Limited,EQ,07-May-1997,5,1,INE111A01025,5
CONFIPET,Confidence Petroleum India Limited,EQ,13-Jun-2019,1,1,INE552D01024,1
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-Mar-2005,10,1,INE025A01027,10
CONTROLPR,Control Print Limited,EQ,24-Jun-2016,10,1,INE663B01015,10
CORALFINAC,Coral India Finance & Housing Limited,EQ,25-Mar-1996,2,1,INE558D01021,2
CORDSCABLE,Cords Cable Industries Limited,EQ,13-Feb-2008,10,1,INE792I01017,10
COROMANDEL,Coromandel International Limited,EQ,31-May-1995,1,1,INE169A01031,1
COSMOFIRST,COSMO FIRST LIMITED,EQ,25-May-1995,10,1,INE757A01017,10
COUNCODOS,Country Condo's Limited,EQ,22-Jan-2009,1,1,INE695B01025,1
CRAFTSMAN,Craftsman Automation Limited,EQ,25-Mar-2021,5,1,INE00LO01017,5
CREATIVE,Creative Newtech Limited,EQ,05-Aug-2019,10,1,INE985W01018,10
CREATIVEYE,Creative Eye Limited,BE,20-Dec-2000,5,1,INE230B01021,5
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-Aug-2018,10,1,INE741K01010,10
CREST,Crest Ventures Limited,EQ,27-Dec-2006,10,1,INE559D01011,10
CRISIL,CRISIL Limited,EQ,28-Jun-1995,1,1,INE007A01025,1
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-May-2016,2,1,INE299U01018,2
CROWN,Crown Lifters Limited,EQ,08-Feb-2022,10,1,INE491V01019,10
CSBBANK,CSB Bank Limited,EQ,04-Dec-2019,10,1,INE679A01013,10
CSLFINANCE,CSL Finance Limited,EQ,21-Jul-2022,10,1,INE718F01018,10
CTE,Cambridge Technology Enterprises Limited,EQ,07-Feb-2007,10,1,INE627H01017,10
CUB,City Union Bank Limited,EQ,25-Aug-1998,1,1,INE491A01021,1
CUBEXTUB,Cubex Tubings Limited,EQ,24-Apr-1996,10,1,INE144D01012,10
CUMMINSIND,Cummins India Limited,EQ,29-Mar-1995,2,1,INE298A01020,2
CUPID,Cupid Limited,EQ,16-Sep-2016,10,1,INE509F01011,10
CYBERMEDIA,Cyber Media (India) Limited,EQ,10-Jun-2005,10,1,INE278G01037,10
CYBERTECH,Cybertech Systems And Software Limited,EQ,27-Jan-1999,10,1,INE214A01019,10
CYIENT,Cyient Limited,EQ,30-Sep-1998,5,1,INE136B01020,5
DAAWAT,LT Foods Limited,EQ,18-Dec-2006,1,1,INE818H01020,1
DABUR,Dabur India Limited,EQ,28-Apr-1999,1,1,INE016A01026,1
DALBHARAT,Dalmia Bharat Limited,EQ,22-Jan-2019,2,1,INE00R701025,2
DALMIASUG,Dalmia Bharat Sugar and Industries Limited,EQ,17-Jan-1996,2,1,INE495A01022,2
DAMODARIND,Damodar Industries Limited,EQ,04-Jul-2016,5,1,INE497D01022,5
DANGEE,Dangee Dums Limited,EQ,13-Nov-2020,1,1,INE688Y01022,1
DATAMATICS,Datamatics Global Services Limited,EQ,07-May-2004,5,1,INE365B01017,5
DATAPATTNS,Data Patterns (India) Limited,EQ,24-Dec-2021,2,1,INE0IX101010,2
DBCORP,D.B.Corp Limited,EQ,06-Jan-2010,10,1,INE950I01011,10
DBL,Dilip Buildcon Limited,EQ,11-Aug-2016,10,1,INE917M01012,10
DBOL,Dhampur Bio Organics Limited,EQ,08-Sep-2022,10,1,INE0I3401014,10
DBREALTY,D B Realty Limited,EQ,24-Feb-2010,10,1,INE879I01012,10
DBSTOCKBRO,DB (International) Stock Brokers Limited,EQ,29-Feb-2012,2,1,INE921B01025,2
DCAL,Dishman Carbogen Amcis Limited,EQ,21-Sep-2017,2,1,INE385W01011,2
DCBBANK,DCB Bank Limited,EQ,27-Oct-2006,10,1,INE503A01015,10
DCI,Dc Infotech And Communication Limited,EQ,19-Oct-2022,10,1,INE0A1101019,10
DCM,DCM  Limited,EQ,29-Mar-1995,10,1,INE498A01018,10
DCMFINSERV,DCM Financial Services Limited,BE,21-May-1997,10,1,INE891B01012,10
DCMNVL,DCM Nouvelle Limited,EQ,16-Jul-2019,10,1,INE08KP01019,10
DCMSHRIRAM,DCM Shriram Limited,EQ,12-Apr-1995,2,1,INE499A01024,2
DCMSRIND,DCM Shriram Industries Limited,EQ,24-Dec-2021,2,1,INE843D01027,2
DCW,DCW Limited,EQ,25-May-1995,2,1,INE500A01029,2
DCXINDIA,DCX Systems Limited,EQ,11-Nov-2022,2,1,INE0KL801015,2
DECCANCE,Deccan Cements Limited,EQ,02-Aug-2007,5,1,INE583C01021,5
DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited,EQ,17-Jan-2003,10,1,INE501A01019,10
DEEPAKNTR,Deepak Nitrite Limited,EQ,29-Sep-2010,2,1,INE288B01029,2
DEEPENR,DEEP ENERGY RESOURCES LIMITED,EQ,09-Mar-2010,10,1,INE677H01012,10
DEEPINDS,Deep Industries Limited,EQ,27-Apr-2021,5,1,INE0FHS01024,5
DELHIVERY,Delhivery Limited,EQ,24-May-2022,1,1,INE148O01028,1
DELPHIFX,DELPHI WORLD MONEY LIMITED,EQ,28-Jun-2011,10,1,INE726L01019,10
DELTACORP,Delta Corp Limited,EQ,02-Nov-2007,1,1,INE124G01033,1
DELTAMAGNT,Delta Manufacturing Limited,EQ,18-Oct-1995,10,1,INE393A01011,10
DEN,Den Networks Limited,EQ,24-Nov-2009,10,1,INE947J01015,10
DENORA,De Nora India Limited,EQ,07-Aug-1997,10,1,INE244A01016,10
DEVIT,Dev Information Technology Limited,EQ,15-Feb-2022,5,1,INE060X01026,5
DEVYANI,Devyani International Limited,EQ,16-Aug-2021,1,1,INE872J01023,1
DGCONTENT,Digicontent Limited,EQ,18-Jun-2019,2,1,INE03JI01017,2
DHAMPURSUG,Dhampur Sugar Mills Limited,EQ,29-Mar-1995,10,1,INE041A01016,10
DHANBANK,Dhanlaxmi Bank Limited,EQ,01-Apr-2004,10,1,INE680A01011,10
DHANI,Dhani Services Limited,EQ,02-Apr-2008,2,1,INE274G01010,2
DHANUKA,Dhanuka Agritech Limited,EQ,29-Jun-2011,2,1,INE435G01025,2
DHARMAJ,Dharmaj Crop Guard Limited,EQ,08-Dec-2022,10,1,INE00OQ01016,10
DHARSUGAR,Dharani Sugars&Chemicals Limited,BZ,22-May-1996,10,1,INE988C01014,10
DHRUV,Dhruv Consultancy Services Limited,EQ,25-Nov-2021,10,1,INE506Z01015,10
DHUNINV,Dhunseri Investments Limited,EQ,18-Mar-2011,10,1,INE320L01011,10
DIAMONDYD,Prataap Snacks Limited,EQ,05-Oct-2017,5,1,INE393P01035,5
DICIND,DIC India Limited,EQ,30-Aug-1995,10,1,INE303A01010,10
DIGISPICE,DiGiSPICE Technologies Limited,EQ,27-May-2008,3,1,INE927C01020,3
DIGJAMLMTD,Digjam Limited,BE,18-Oct-2021,10,1,INE731U01028,10
DIL,Debock Industries Limited,EQ,31-Mar-2022,10,1,INE411Y01011,10
DISHTV,Dish TV India Limited,EQ,18-Apr-2007,1,1,INE836F01026,1
DIVGIITTS,Divgi Torqtransfer Systems Limited,EQ,14-Mar-2023,5,1,INE753U01022,5
DIVISLAB,Divi's Laboratories Limited,EQ,12-Mar-2003,2,1,INE361B01024,2
DIXON,Dixon Technologies (India) Limited,EQ,18-Sep-2017,2,1,INE935N01020,2
DJML,DJ Mediaprint & Logistics Limited,EQ,05-Dec-2022,10,1,INE0B1K01014,10
DLF,DLF Limited,EQ,05-Jul-2007,2,1,INE271C01023,2
DLINKINDIA,D-Link (India) Limited,EQ,18-Dec-2009,2,1,INE250K01012,2
DMART,Avenue Supermarts Limited,EQ,21-Mar-2017,10,1,INE192R01011,10
DMCC,DMCC SPECIALITY CHEMICALS LIMITED,EQ,01-Dec-2021,10,1,INE505A01010,10
DNAMEDIA,Diligent Media Corporation Limited,EQ,11-Dec-2017,1,1,INE016M01021,1
DODLA,Dodla Dairy Limited,EQ,28-Jun-2021,10,1,INE021O01019,10
DOLATALGO,Dolat Algotech Limited,EQ,19-Aug-2019,1,1,INE966A01022,1
DOLLAR,Dollar Industries Limited,EQ,21-Apr-2017,2,1,INE325C01035,2
DONEAR,Donear Industries Limited,EQ,20-Dec-2006,2,1,INE668D01028,2
DPABHUSHAN,D. P. Abhushan Limited,EQ,03-Nov-2020,10,1,INE266Y01019,10
DPSCLTD,DPSC Limited,EQ,21-Apr-2008,1,1,INE360C01024,1
DPWIRES,D P Wires Limited,EQ,17-Jan-2020,10,1,INE864X01013,10
DRCSYSTEMS,DRC Systems India Limited,EQ,10-Mar-2021,1,1,INE03RS01027,1
DREAMFOLKS,Dreamfolks Services Limited,EQ,06-Sep-2022,2,1,INE0JS101016,2
DREDGECORP,Dredging Corporation of India Limited,EQ,15-Jan-2004,10,1,INE506A01018,10
DRREDDY,Dr. Reddy's Laboratories Limited,EQ,30-May-2003,5,1,INE089A01023,5
DSSL,Dynacons Systems & Solutions Limited,EQ,01-Dec-2011,10,1,INE417B01040,10
DTIL,Dhunseri Tea & Industries Limited,EQ,20-Jan-2015,10,1,INE341R01014,10
DUCON,Ducon Infratechnologies Limited,BE,09-Oct-2012,1,1,INE741L01018,1
DVL,Dhunseri Ventures Limited,EQ,11-Jan-2008,10,1,INE477B01010,10
DWARKESH,Dwarikesh Sugar Industries Limited,EQ,31-Dec-2004,1,1,INE366A01041,1
DYCL,Dynamic Cables Limited,EQ,27-Jul-2022,10,1,INE600Y01019,10
DYNAMATECH,Dynamatic Technologies Limited,EQ,14-Sep-2006,10,1,INE221B01012,10
DYNPRO,Dynemic Products Limited,EQ,19-Jul-2017,10,1,INE256H01015,10
E2E,E2E Networks Limited,EQ,12-Apr-2022,10,1,INE255Z01019,10
EASEMYTRIP,Easy Trip Planners Limited,EQ,19-Mar-2021,1,1,INE07O001026,1
ECLERX,eClerx Services Limited,EQ,31-Dec-2007,10,1,INE738I01010,10
EDELWEISS,Edelweiss Financial Services Limited,EQ,12-Dec-2007,1,1,INE532F01054,1
EICHERMOT,Eicher Motors Limited,EQ,07-Sep-2004,1,1,INE066A01021,1
EIDPARRY,EID Parry India Limited,EQ,10-May-1995,1,1,INE126A01031,1
EIFFL,Euro India Fresh Foods Limited,EQ,12-Oct-2021,10,1,INE546V01010,10
EIHAHOTELS,EIH Associated Hotels Limited,EQ,08-Apr-2008,10,1,INE276C01014,10
EIHOTEL,EIH Limited,EQ,08-Feb-1995,2,1,INE230A01023,2
EIMCOELECO,Eimco Elecon (India) Limited,EQ,17-Apr-1996,10,1,INE158B01016,10
EKC,Everest Kanto Cylinder Limited,EQ,15-Dec-2005,2,1,INE184H01027,2
ELDEHSG,Eldeco Housing And Industries Limited,EQ,12-Apr-2022,2,1,INE668G01021,2
ELECON,Elecon Engineering Company Limited,EQ,29-Sep-2006,2,1,INE205B01023,2
ELECTCAST,Electrosteel Castings Limited,EQ,20-Jun-2003,1,1,INE086A01029,1
ELECTHERM,Electrotherm (India) Limited,EQ,20-Aug-2007,10,1,INE822G01016,10
ELGIEQUIP,Elgi Equipments Limited,EQ,22-Nov-1995,1,1,INE285A01027,1
ELGIRUBCO,Elgi Rubber Company Limited,EQ,10-Aug-2011,1,1,INE819L01012,1
ELIN,Elin Electronics Limited,EQ,30-Dec-2022,5,1,INE050401020,5
EMAMILTD,Emami Limited,EQ,03-Aug-2006,1,1,INE548C01032,1
EMAMIPAP,Emami Paper Mills Limited,EQ,30-May-2019,2,1,INE830C01026,2
EMAMIREAL,Emami Realty Limited,EQ,28-Jul-2010,2,1,INE778K01012,2
EMIL,Electronics Mart India Limited,EQ,17-Oct-2022,10,1,INE02YR01019,10
EMKAY,Emkay Global Financial Services Limited,EQ,28-Apr-2006,10,1,INE296H01011,10
EMMBI,Emmbi Industries Limited,EQ,24-Feb-2010,10,1,INE753K01015,10
EMUDHRA,eMudhra Limited,EQ,01-Jun-2022,5,1,INE01QM01018,5
ENDURANCE,Endurance Technologies Limited,EQ,19-Oct-2016,10,1,INE913H01037,10
ENERGYDEV,Energy Development Company Limited,EQ,02-Nov-2007,10,1,INE306C01019,10
ENGINERSIN,Engineers India Limited,EQ,20-Aug-1997,5,1,INE510A01028,5
ENIL,Entertainment Network (India) Limited,EQ,15-Feb-2006,10,1,INE265F01028,10
EPL,EPL Limited,EQ,11-Feb-2002,2,1,INE255A01020,2
EQUITASBNK,Equitas Small Finance Bank Limited,EQ,02-Nov-2020,10,1,INE063P01018,10
ERIS,Eris Lifesciences Limited,EQ,29-Jun-2017,1,1,INE406M01024,1
EROSMEDIA,Eros International Media Limited,EQ,06-Oct-2010,10,1,INE416L01017,10
ESABINDIA,Esab India Limited,EQ,01-Nov-1995,10,1,INE284A01012,10
ESCORTS,Escorts Kubota Limited,EQ,01-Mar-1995,10,1,INE042A01014,10
ESSARSHPNG,Essar Shipping Limited,EQ,15-Nov-2011,10,1,INE122M01019,10
ESSENTIA,Integra Essentia Limited,EQ,20-Aug-2013,1,1,INE418N01035,1
ESTER,Ester Industries Limited,EQ,20-Jun-2011,5,1,INE778B01029,5
ETHOSLTD,Ethos Limited,EQ,30-May-2022,10,1,INE04TZ01018,10
EUROTEXIND,Eurotex Industries and Exports Limited,EQ,31-Jan-1996,10,1,INE022C01012,10
EVEREADY,Eveready Industries India Limited,EQ,27-Apr-2005,5,1,INE128A01029,5
EVERESTIND,Everest Industries Limited,EQ,29-Mar-1995,10,1,INE295A01018,10
EXCEL,Excel Realty N Infra Limited,EQ,03-Aug-2009,1,1,INE688J01023,1
EXCELINDUS,Excel Industries Limited,EQ,16-Jun-2004,5,1,INE369A01029,5
EXIDEIND,Exide Industries Limited,EQ,17-Jun-2003,1,1,INE302A01020,1
EXPLEOSOL,Expleo Solutions Limited,EQ,26-Oct-2009,10,1,INE201K01015,10
EXXARO,Exxaro Tiles Limited,EQ,16-Aug-2021,10,1,INE0GFE01018,10
FACT,Fertilizers and Chemicals Travancore Limited,EQ,12-Apr-1995,10,1,INE188A01015,10
FAIRCHEMOR,Fairchem Organics Limited,EQ,24-Dec-2020,10,1,INE0DNW01011,10
FAZE3Q,Faze Three Limited,EQ,18-Nov-2022,10,1,INE963C01033,10
FCL,Fineotex Chemical Limited,EQ,15-Jan-2015,2,1,INE045J01026,2
FCONSUMER,Future Consumer Limited,BE,04-Jul-2013,6,1,INE220J01025,6
FCSSOFT,FCS Software Solutions Limited,EQ,21-Sep-2005,1,1,INE512B01022,1
FDC,FDC Limited,EQ,07-Aug-1997,1,1,INE258B01022,1
FEDERALBNK,The Federal Bank  Limited,EQ,08-Feb-1995,2,1,INE171A01029,2
FIBERWEB,Fiberweb (India) Limited,EQ,16-Feb-2022,10,1,INE296C01020,10
FIEMIND,Fiem Industries Limited,EQ,19-Oct-2006,10,1,INE737H01014,10
FILATEX,Filatex India Limited,EQ,29-Aug-2011,1,1,INE816B01035,1
FINCABLES,Finolex Cables Limited,EQ,15-Feb-1995,2,1,INE235A01022,2
FINEORG,Fine Organic Industries Limited,EQ,02-Jul-2018,5,1,INE686Y01026,5
FINOPB,Fino Payments Bank Limited,EQ,12-Nov-2021,10,1,INE02NC01014,10
FINPIPE,Finolex Industries Limited,EQ,08-Feb-1995,2,1,INE183A01024,2
FIVESTAR,Five-Star Business Finance Limited,EQ,21-Nov-2022,1,1,INE128S01021,1
FLEXITUFF,Flexituff Ventures International Limited,EQ,19-Oct-2011,10,1,INE060J01017,10
FLFL,Future Lifestyle Fashions Limited,BZ,01-Oct-2013,2,1,INE452O01016,2
FLUOROCHEM,Gujarat Fluorochemicals Limited,EQ,16-Oct-2019,1,1,INE09N301011,1
FMGOETZE,Federal-Mogul Goetze (India) Limited.,EQ,08-Feb-1995,10,1,INE529A01010,10
FMNL,Future Market Networks Limited,BE,31-Dec-2010,10,1,INE360L01017,10
FOCUS,Focus Lighting and Fixtures Limited,EQ,24-Nov-2021,10,1,INE593W01010,10
FOODSIN,Foods & Inns Limited,EQ,16-Nov-2021,1,1,INE976E01023,1
FORCEMOT,FORCE MOTORS LTD,EQ,03-Nov-1994,10,1,INE451A01017,10
FORTIS,Fortis Healthcare Limited,EQ,09-May-2007,10,1,INE061F01013,10
FOSECOIND,Foseco India Limited,EQ,05-May-2003,10,1,INE519A01011,10
FSL,Firstsource Solutions Limited,EQ,22-Feb-2007,10,1,INE684F01012,10
FUSION,Fusion Micro Finance Limited,EQ,15-Nov-2022,10,1,INE139R01012,10
GABRIEL,Gabriel India Limited,EQ,20-Apr-2005,1,1,INE524A01029,1
GAEL,Gujarat Ambuja Exports Limited,EQ,11-Oct-2000,1,1,INE036B01030,1
GAIL,GAIL (India) Limited,EQ,02-Apr-1997,10,1,INE129A01019,10
GAL,Gyscoal Alloys Limited,EQ,27-Oct-2010,1,1,INE482J01021,1
GALAXYSURF,Galaxy Surfactants Limited,EQ,08-Feb-2018,10,1,INE600K01018,10
GALLANTT,Gallantt Ispat Limited,EQ,04-Apr-2006,10,1,INE297H01019,10
GANDHITUBE,Gandhi Special Tubes Limited,EQ,31-Jan-2007,5,1,INE524B01027,5
GANECOS,Ganesha Ecosphere Limited,EQ,09-Mar-2015,10,1,INE845D01014,10
GANESHBE,Ganesh Benzoplast Limited,EQ,16-Sep-2021,1,1,INE388A01029,1
GANESHHOUC,Ganesh Housing Corporation Limited,EQ,02-Mar-2007,10,1,INE460C01014,10
GANGAFORGE,Ganga Forging Limited,EQ,06-Jul-2021,1,1,INE691Z01023,1
GANGESSECU,Ganges Securities Limited,EQ,28-Jul-2017,10,1,INE335W01016,10
GARFIBRES,Garware Technical Fibres Limited,EQ,03-Apr-2007,10,1,INE276A01018,10
GATEWAY,Gateway Distriparks Limited,EQ,22-Mar-2022,10,1,INE079J01017,10
GATI,GATI Limited,EQ,10-Oct-2006,2,1,INE152B01027,2
GAYAHWS,Gayatri Highways Limited,BE,28-Jun-2018,2,1,INE287Z01012,2
GEECEE,GeeCee Ventures Limited,EQ,04-Oct-2006,10,1,INE916G01016,10
GEEKAYWIRE,Geekay Wires Limited,EQ,06-Mar-2020,10,1,INE669X01016,10
GENCON,Generic Engineering Construction and Projects Limited,EQ,16-Feb-2021,5,1,INE854S01022,5
GENESYS,Genesys International Corporation Limited,EQ,23-Jan-2003,5,1,INE727B01026,5
GENUSPAPER,Genus Paper & Boards Limited,EQ,16-Feb-2015,1,1,INE949P01018,1
GENUSPOWER,Genus Power Infrastructures Limited,EQ,08-Jul-2005,1,1,INE955D01029,1
GEOJITFSL,Geojit Financial Services Limited,EQ,01-Jul-2005,1,1,INE007B01023,1
GEPIL,GE Power India Limited,EQ,19-Apr-2000,10,1,INE878A01011,10
GESHIP,The Great Eastern Shipping Company Limited,EQ,27-Nov-2006,10,1,INE017A01032,10
GET&D,GE T&D India Limited,EQ,30-Jun-2008,2,1,INE200A01026,2
GFLLIMITED,GFL Limited,EQ,25-May-1995,1,1,INE538A01037,1
GHCL,GHCL Limited,EQ,31-Jul-2003,10,1,INE539A01019,10
GICHSGFIN,GIC Housing Finance Limited,EQ,08-May-1996,10,1,INE289B01019,10
GICRE,General Insurance Corporation of India,EQ,25-Oct-2017,5,1,INE481Y01014,5
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,14-Dec-2009,10,1,INE047B01011,10
GILLETTE,Gillette India Limited,EQ,30-Jul-2003,10,1,INE322A01010,10
GINNIFILA,Ginni Filaments Limited,BE,10-May-1995,10,1,INE424C01010,10
GIPCL,Gujarat Industries Power Company Limited,EQ,08-Feb-1995,10,1,INE162A01010,10
GISOLUTION,GI Engineering Solutions Limited,BE,30-Jan-2009,10,1,INE065J01016,10
GKWLIMITED,GKW Limited,EQ,20-Jul-2009,10,1,INE528A01020,10
GLAND,Gland Pharma Limited,EQ,20-Nov-2020,1,1,INE068V01023,1
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,15-Dec-2000,10,1,INE159A01016,10
GLENMARK,Glenmark Pharmaceuticals Limited,EQ,07-Feb-2000,1,1,INE935A01035,1
GLFL,Gujarat Lease Financing Limited,EQ,08-Feb-1995,10,1,INE540A01017,10
GLOBAL,Global Education Limited,EQ,07-Dec-2020,5,1,INE291W01029,5
GLOBALVECT,Global Vectra Helicorp Limited,EQ,27-Oct-2006,10,1,INE792H01019,10
GLOBE,Globe Textiles (India) Limited,EQ,07-Oct-2020,2,1,INE581X01021,2
GLOBUSSPR,Globus Spirits Limited,EQ,23-Sep-2009,10,1,INE615I01010,10
GLS,Glenmark Life Sciences Limited,EQ,06-Aug-2021,2,1,INE03Q201024,2
GMBREW,GM Breweries Limited,EQ,23-Aug-1995,10,1,INE075D01018,10
GMDCLTD,Gujarat Mineral Development Corporation Limited,EQ,17-Dec-1997,2,1,INE131A01031,2
GMMPFAUDLR,GMM Pfaudler Limited,EQ,05-Mar-2018,2,1,INE541A01023,2
GMRINFRA,GMR Airports Infrastructure Limited,EQ,21-Aug-2006,1,1,INE776C01039,1
GMRP&UI,GMR Power and Urban Infra Limited,EQ,23-Mar-2022,5,1,INE0CU601026,5
GNA,GNA Axles Limited,EQ,26-Sep-2016,10,1,INE934S01014,10
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,17-May-1995,10,1,INE113A01013,10
GOACARBON,Goa Carbon Limited,EQ,05-Jun-2007,10,1,INE426D01013,10
GOCLCORP,GOCL Corporation Limited,EQ,26-Jun-2014,2,1,INE077F01035,2
GOCOLORS,Go Fashion (India) Limited,EQ,30-Nov-2021,10,1,INE0BJS01011,10
GODFRYPHLP,Godfrey Phillips India Limited,EQ,24-Jul-1996,2,1,INE260B01028,2
GODHA,Godha Cabcon & Insulation Limited,EQ,24-Dec-2020,1,1,INE925Y01036,1
GODREJAGRO,Godrej Agrovet Limited,EQ,16-Oct-2017,10,1,INE850D01014,10
GODREJCP,Godrej Consumer Products Limited,EQ,20-Jun-2001,1,1,INE102D01028,1
GODREJIND,Godrej Industries Limited,EQ,25-Feb-2003,1,1,INE233A01035,1
GODREJPROP,Godrej Properties Limited,EQ,05-Jan-2010,5,1,INE484J01027,5
GOKEX,Gokaldas Exports Limited,EQ,27-Apr-2005,5,1,INE887G01027,5
GOKUL,Gokul Refoils and Solvent Limited,EQ,04-Jun-2008,2,1,INE020J01029,2
GOKULAGRO,Gokul Agro Resources Limited,EQ,11-Mar-2016,2,1,INE314T01025,2
GOLDIAM,Goldiam International Limited,EQ,29-Aug-2005,2,1,INE025B01025,2
GOLDTECH,Goldstone Technologies Limited,BE,11-Apr-2001,10,1,INE805A01014,10
GOODLUCK,Goodluck India Limited,EQ,08-Jan-2015,2,1,INE127I01024,2
GOODYEAR,Goodyear India Limited,EQ,28-Dec-1994,10,1,INE533A01012,10
GOYALALUM,Goyal Aluminiums Limited,BE,04-Nov-2022,1,1,INE705X01026,1
GPIL,Godawari Power And Ispat limited,EQ,25-Apr-2006,5,1,INE177H01021,5
GPPL,Gujarat Pipavav Port Limited,EQ,09-Sep-2010,10,1,INE517F01014,10
GPTINFRA,GPT Infraprojects Limited,EQ,11-Jul-2016,10,1,INE390G01014,10
GRANULES,Granules India Limited,EQ,20-Jun-2005,1,1,INE101D01020,1
GRAPHITE,Graphite India Limited,EQ,07-Feb-2003,2,1,INE371A01025,2
GRASIM,Grasim Industries Limited,EQ,10-May-1995,2,1,INE047A01021,2
